Stock,Symbol,Shares Held
Chipmos technologies inc,IMOS,1429600.0
Ecopetrol s.a. adr,EC,2727430.0
Heidrick & struggles international inc,HSII,1270202.0
Albertsons companies  inc.,ACI,1508105.0
Packaging corp. of america,PKG,319800.0
Coty inc.,COTY,5552330.0
W d-40 co,WDFC,266938.0
Equity lifestyle properties inc,ELS,638864.0
Insulet corp,PODD,182900.0
Echostar corp.,SATS,1996804.0
Gladstone commercial corp,GOOD,2207120.0
National storage affiliates trust,NSA,771586.0
Pentair plc,PNR,892164.0
Skillz inc,SKLZ,16074900.0
Becton  dickinson and co.,BDX,185803.8
Builders firstsource inc,BLDR,745641.0
Johnson & johnson co.,JNJ,271200.0
Arthur j. gallagher & co inc,AJG,275000.0
Meridian bioscience inc,VIVO,1834764.0
Waste connections inc,WCN,340833.0
Newell brands inc,NWL,2212527.0
National bank holdings corp,NBHC,1167500.0
Amphenol corp. (1987),APH,622900.0
Zillow group inc class c,Z,951114.0
Teradyne inc,TER,393900.0
Dte energy co. (detroit edison),DTE,351470.0
Sm energy co,SM,1183200.0
Crescent point energy corp,CPG,6350887.0
Restaurant brands international inc,QSR,787687.0
Ebay inc.,EBAY,797290.0
Amc entertainment holdings inc,AMC,1843033.0
Golden ocean group limited,GOGL,3658689.0
Academy sports and outdoors  inc.,ASO,1147500.0
Varonis systems inc,VRNS,951000.0
Interdigital  inc.,IDCC,706467.0
Centennial resource development inc,CDEV,5560500.0
American airlines group inc,AAL,2454800.0
Seagate technology plc,STX,494393.0
Carriage services inc. class a,CSV,830500.0
Crispr therapeutics ag,CRSP,702300.0
Forrester research inc,FORR,776524.0
Host hotels& resorts inc,HST,2238065.0
Pam transportation services inc,PTSI,1245808.0
Enanta pharmaceuticals inc,ENTA,607100.0
New oriental education & tech group inc adr,EDU,37490100.0
Clearway energy inc class a,CWEN.A,1293629.0
Biontech se adr,BNTX,250419.0
Apollo global management inc,APO,688872.0
Cdw corp.,CDW,238598.0
Logitech international sa adr,LOGI,576963.0
Idt corp. class b,IDT,1248377.0
Healthcare realty trust inc,HR,1547600.0
Ipg photonics corp,IPGP,385300.0
Arch coal inc,ARCH,306600.0
Microstrategy inc.,MSTR,86300.0
Pnm resources  inc.,PNM,876656.0
Repligen corp.,RGEN,220816.0
Vistra energy corp,VST,1781440.0
Apartment income reit corp.,AIRC,773500.0
Kraft heinz co. (the),KHC,1048700.0
Datadog inc,DDOG,272700.0
Range resources corp.,RRC,1358483.0
Berkshire hathaway inc class a,BRK.A,78.0
Smith & wesson brands inc. (american outdoor brands),SWBI,2721377.0
Check point software technologies ltd,CHKP,297700.0
Grainger (w.w.) inc.,GWW,79700.0
Enova international inc,ENVA,1077643.0
Berkeley (w.r.) corp.,WRB,609348.0
Sba communications corp.,SBAC,117749.0
Clean harbors inc.,CLH,362733.0
Enbridge  inc. (interprovincial pipe line system - ipl energy),ENB,876110.0
Whirlpool corp. (de),WHR,233557.0
Cliffs natural resources inc.,CLF,1252359.0
Hanesbrands  inc.,HBI,2708900.0
Supernus pharmaceuticals inc,SUPN,1243522.0
Alpha metallurgical resources inc.,AMR,304115.0
Synopsys inc.,SNPS,119834.0
A10 networks inc,ATEN,2855060.0
